03205.2021-8;None;LOCACAO DE AERONAVE;None;None;None;None;None;None
03211.2022-1;None;CONTAINERS/EQUIPAMENTOS DIVERSOS;None;None;None;None;None;None
03225.2021-5;None;MATERIAL DE CONSUMO EM GERAL;None;None;None;None;None;None
03236.2021-3;None;LOCACAO DE VEICULOS - LEVES  PESADOS;None;None;None;None;None;None
03276.2021-8;None;MATERIAL DE TIC (CONSUMO);None;None;None;None;None;None
03277.2021-2;None;PEÇA / ACESSÓRIO ILUMINAÇÃO;None;None;None;None;None;None
03278.2021-7;None;MATERIAL GRÁFICO;None;None;None;None;None;None
03281.2021-9;None;CONTRATACAO DE PASSAGEM AEREA JUNTO A COMPANHIA CREDENCIADA;None;None;None;None;None;None
03282.2021-3;None;FORNECIMENTO PASSAGEM RODOVIARIA - MENOR TAXA DE SERVICO;None;None;None;None;None;None
03557.2021-3;None;LICENCIAMENTO - ASSINATURAS DE SOFTWARES E SITES DE CONTEÚDO GRÁFICO;None;None;None;None;None;None
03598.2021-2;None;PRESTACAO DE SERVICOS DE MOTORISTA;None;None;None;None;None;None
03846.2022-1;None;GRAVACAO - DEGRAVACAO - IMAGEM  SOM  DADOS
MANUTENCAO E REPARO DE EQUIPAMENTO AUDIO  VISUAL;None;None;None;None;None;None
03867.2020-7;None;Aquisição de livros;None;None;None;None;None;None
04039.2022-1;None;CONTAINERS/EQUIPAMENTOS DIVERSOS;None;None;None;None;None;None
04406.2022-8;None;SERVICOS GRAFICOS - POLICROMIA;None;None;None;None;None;None
04438.2021-0;None;MANUTENCAO  REFORMA PREDIAL;None;None;None;None;None;None
04535.2021-9;None;ENERGIA ELETRICA - FORNECIMENTO MERCADO REGULADO;None;None;None;None;None;None
04731.2021-6;None;SERVIÇO DE TELECOMUNICAÇÃO - REDE DE DADOS;None;None;None;None;None;None
04819.2021-8;None;PRESTACAO DE SERVICO DE LIMPEZA E CONSERVACAO - AREAS INTER-NAS - 44 HORAS SEMANAIS DIURNAS - OUTRA PRODUTIVIDADE;None;None;None;None;None;None
04835.2021-7;None;EDITORACAO;None;None;None;None;None;None
04963.2022-0;None;LICENCIAMENTO - ASSINATURAS DE SOFTWARES E SITES DE CONTEÚDO GRÁFICO;None;None;None;None;None;None
05053.2021-5;None;CONTROLE DE ABASTECIMENTO DE VEICULOS;None;None;None;None;None;None
05164.2021-6;None;Locação de Imóvel;None;None;None;None;None;None
